#GeneSymbol	Categories
PTPRF	periphery
POLR3D	periphery
FBXO21	periphery
DLG1	periphery
TMEM194A	periphery
BCL2L1	periphery
MAP4K1	periphery
MRE11A	periphery
KIR3DL1	periphery
COL6A3	periphery
PDE4A	periphery
CD7	periphery
NACA	periphery
FAN1	periphery
NUCKS1	periphery
CYP1B1	periphery
MET	periphery
SFI1	periphery
UGCG	periphery
SNX1	periphery
TGFBR3	periphery
CHAF1A	periphery
MS4A1	periphery
PAK1IP1	periphery
MATK	periphery
TP53BP1	periphery
MAP2K5	periphery
NOP56	periphery
POLA1	periphery
TNFAIP6	periphery
DDX47	periphery
HIST1H4A	periphery
NOL12	periphery
SMARCA4	periphery
PON2	periphery
SEC24C	periphery
TNPO1	periphery
E2F5	periphery
THUMPD1	periphery
SNRPA1	periphery
FHL1	periphery
RAI2	periphery
TFAM	periphery
ANP32A	periphery
HIST2H2BE	periphery
TSC22D3	periphery
CPSF6	periphery
RBBP6	periphery
NAA15	periphery
CA4	periphery
CCPG1	periphery
ABR	periphery
EED	periphery
AK4	periphery
ANKZF1	periphery
PPIP5K1	periphery
GAB2	periphery
ADH1C	periphery
GYPA	periphery
SLTM	periphery
KIR2DL2	periphery
COIL	periphery
CALM3	periphery
DNAJB6	periphery
PLXND1	periphery
GRIA1	periphery
BAZ2A	periphery
ARHGDIA	periphery
CEACAM1	periphery
WHSC1	periphery
MRPL9	periphery
ASAP3	periphery
TMOD1	periphery
VDR	periphery
TIMM22	periphery
ORM1	periphery
CLCN7	periphery
MED17	periphery
LPHN1	periphery
CCL2	periphery
TTC27	periphery
PNMA2	periphery
GEMIN4	periphery
IL6	periphery
ZFP36L2	periphery
BMP2K	periphery
POF1B	periphery
PTPRA	periphery
TPM2	periphery
SLC7A11	periphery
PPP5C	periphery
NCAPH2	periphery
COPA	periphery
MGLL	periphery
JAK3	periphery
FTCD	periphery
SMEK1	periphery
MXD4	periphery
SH3GLB2	periphery
USP46	periphery
SOD2	periphery
WIPF1	periphery
GPR183	periphery
ASPH	periphery
TTF1	periphery
TPD52	periphery
BAX	periphery
KCNAB1	periphery
THADA	periphery
TRMT11	periphery
PWP2	periphery
SRC	periphery
KLHL3	periphery
PLCH1	periphery
SLPI	periphery
ARID1A	periphery
HOMER2	periphery
RBM10	periphery
ADRB1	periphery
SNX7	periphery
CYLD	periphery
BCL2A1	periphery
FBXW7	periphery
FAM178A	periphery
ADM	periphery
CD9	periphery
GPX1	periphery
SMOX	periphery
PRSS23	periphery
MDM4	periphery
FCGR2C	periphery
DDX28	periphery
ANAPC5	periphery
RAB40AL	periphery
CD247	periphery
ISLR	periphery
DCUN1D4	periphery
MARCKS	periphery
PLEKHG3	periphery
RAB4B	periphery
AGXT	periphery
EIF3A	periphery
NCAM1	periphery
U2AF2	periphery
VWF	periphery
DYNLL1	periphery
ATXN7	periphery
EFHC1	periphery
TSPAN5	periphery
YAP1	periphery
KRR1	periphery
ZER1	periphery
VNN2	periphery
TGFBRAP1	periphery
PSMD11	periphery
GNRH1	periphery
HIST1H2BJ	periphery
BAG5	periphery
MED1	periphery
KIF5B	periphery
ABCD3	periphery
NRG1	periphery
AQP3	periphery
MYCBP	periphery
BMS1	periphery
ANK1	periphery
GTF2F1	periphery
PPBP	periphery
MAPK4	periphery
IGF2BP2	periphery
MMP1	periphery
CRY2	periphery
PRF1	periphery
ITPR3	periphery
FUBP1	periphery
VIL1	periphery
ACAP1	periphery
ZNF22	periphery
PRDM2	periphery
EGF	periphery
TEF	periphery
CCL7	periphery
MBD1	periphery
PDGFA	periphery
IL1RN	periphery
LSM4	periphery
HEY1	periphery
ATM	periphery
SMARCA2	periphery
RASSF1	periphery
MAP3K1	periphery
ADCY9	periphery
FTH1	periphery
NASP	periphery
RXRA	periphery
RAB1B	periphery
TMPO	periphery
UBE4B	periphery
LCN2	periphery
UBASH3A	periphery
NUMA1	periphery
RAD50	periphery
ORC2	periphery
